station_id,station_name,timestamp,free_bikes,empty_slots,extra_uid,extra_last_updated,extra_slots,extra_normal_bikes,extra_ebikes
023efce1bbb332a1b918d56aeb671890,Avenida de Arteixo,2024-12-12T18:02:45.394333Z,5,10,53,1734026392,15,4,1
02cecd02915c86d7ab8034b61b19da0e,Mercado de Monte Alto,2024-12-12T18:02:45.394237Z,1,13,43,1734026516,15,0,1
030c4027b0bea390e562645c7082db4c,Los Rosales,2024-12-12T18:02:45.393888Z,5,20,11,1734026418,25,5,0
0e3aa0134a2f3d07ae5bd093e6af9a33,Plaza de Portugal,2024-12-12T18:02:45.394355Z,5,15,55,1734026535,20,5,0
104e0797759d11ac22a61cfed357800b,Ventorrillo,2024-12-12T18:02:45.394078Z,1,17,27,1734026417,18,1,0
10af3b0e504fc241415d4047a58bfb5b,Cd Castrillón,2024-12-12T18:02:45.394031Z,3,12,23,1734026505,15,1,2
15b6693701eb534cddabc0bdd4c3b8a2, Pablo Picasso,2024-12-12T18:02:45.394053Z,11,7,25,1734026450,19,10,1
16d30b6bb080c9ceac0ab0ca3b20111a,Barrio de las Flores,2024-12-12T18:02:45.394125Z,7,16,31,1734026520,23,7,0
18b3d4c21c5cec9d8e25fa0a6cab109a,Torre de Hércules,2024-12-12T18:02:45.393759Z,10,3,5,1734026449,15,10,0
18e32269ce7f371acf5ca7f016b07a2a,Campo de Marte,2024-12-12T18:02:45.393963Z,1,14,17,1734026520,15,0,1
198820c7b5fc5681e896110c4383a4a0,Hospital Abente y Lago,2024-12-12T18:02:45.394226Z,6,9,42,1734026524,15,6,0
1a77b47ff9c828307610737e1a9046c3,Plaza de Tabacos,2024-12-12T18:02:45.393928Z,4,15,14,1734026438,19,4,0
1df27d4197c65e404466107444967600,Casa del Agua,2024-12-12T18:02:45.394377Z,10,4,57,1734026402,16,10,0
2139f0834a27ab807a5edb3420c2841e,Plaza De Pontevedra,2024-12-12T18:02:45.393565Z,2,25,3,1734026534,29,2,0
280380564f13b15dbc782a43d2426689,Estación Autobuses,2024-12-12T18:02:45.393842Z,4,11,8,1734026422,15,4,0
2ad08bdfd5fda295855b0297d410716f,Orillamar,2024-12-12T18:02:45.394204Z,1,14,40,1734026485,15,0,1
2cdf0b7a087c888dee45f8c619ea5bb2,Aquarium,2024-12-12T18:02:45.393733Z,9,5,4,1734026361,15,7,2
2d16841278003915e01f897638776f63,Parque de Oza,2024-12-12T18:02:45.394291Z,2,13,49,1734026380,15,2,0
305b3112f5f1083876b2ce9146742596,Aparcamiento Matogrande,2024-12-12T18:02:45.393939Z,2,11,15,1734026497,15,2,2
447505d0e57db2f71d7572ceedcbb046,Agrela,2024-12-12T18:02:45.394090Z,0,23,28,1734026529,23,0,0
4c0262f67097091b43ca54b09a072bce,Paseo de Los Puentes,2024-12-12T18:02:45.393998Z,0,18,20,1734026526,19,0,0
5053bbeb34b876b59c45121ab341af93,Ágora,2024-12-12T18:02:45.394248Z,0,23,44,1734026373,23,0,0
5330f247a28be53b762427542867dd73,Campo de La Leña (Plaza De España),2024-12-12T18:02:45.393974Z,0,15,18,1734026398,15,0,0
7446dcc290f2570a47d4ed2bc9282ceb,Cuatro Caminos,2024-12-12T18:02:45.394302Z,19,4,50,1734026401,23,19,0
75e54fb28a5679603047bbd282047916,Puerto - Palexco,2024-12-12T18:02:45.393773Z,4,10,6,1734026422,15,4,1
88a676510bd52100c911fb1a9b5f87b4,Expocoruna,2024-12-12T18:02:45.394148Z,10,9,33,1734026402,19,9,1
8c078d095787b97917c07ab40bf3594e,Plaza Recife,2024-12-12T18:02:45.394281Z,2,11,47,1734026436,15,2,0
8dfd4b95e7f499296e03312c5b1f9e22,Plaza de San Rosendo,2024-12-12T18:02:45.393986Z,2,13,19,1734026404,15,1,1
938a003c099dc9b2c7411f2000b88022,Puerta Real,2024-12-12T18:02:45.394020Z,8,15,22,1734026375,23,8,0
95a1abdf86ec8d29deb7380938c2e02e,Plaza de Conchiñas,2024-12-12T18:02:45.393902Z,1,14,12,1734026493,15,0,1
9ba72d8f143fb690546e6950b2d53c97,Estación Tren,2024-12-12T18:02:45.393858Z,6,9,9,1734026507,15,6,0
9e7f93baecab42d934a507a9ef7e5938,Adormideras,2024-12-12T18:02:45.394066Z,9,9,26,1734026503,19,9,0
9e84dc079b6d308cb74dedeb0f98f345,Marineda,2024-12-12T18:02:45.394102Z,3,17,29,1734026458,23,3,1
a2893fa94f1de9a32b0b210b994f3e10,Parque de Santa Margarita,2024-12-12T18:02:45.394344Z,10,3,54,1734026468,13,10,0
a876e4f21fbf7e9873b395485d080c1f,Ciudad Escolar,2024-12-12T18:02:45.394171Z,5,14,36,1734026434,19,5,0
b376679bc7b9464f8f0edc775d71d5ad,Parque de Eirís,2024-12-12T18:02:45.394137Z,2,17,32,1734026518,19,0,2
b55aa9b4a84ef790d95fe5c43e4bd1ad,Novo Mesoiro,2024-12-12T18:02:45.394114Z,1,22,30,1734026381,23,0,1
bf735b3d92053c97f825a333f6686aac,Chuac,2024-12-12T18:02:45.394312Z,7,12,51,1734026380,19,7,0
c158d9e1e35d2323bb2bbf49da32c47b,Casa de Sol,2024-12-12T18:02:45.393952Z,1,15,16,1734026398,16,0,1
cc7469fb9362066706da43aafbe02e1f,Centro deportivo Elviña,2024-12-12T18:02:45.394322Z,1,18,52,1734026392,19,1,0
d03cf3099b20bc41dddaf4ee8b282dfa,Maestranza,2024-12-12T18:02:45.394160Z,6,13,35,1734026421,19,6,0
d9b01b13fb85506d591617ab5e8cf4bc,Mirador de los Castros,2024-12-12T18:02:45.393874Z,8,10,10,1734026530,19,8,0
daa753bf3bdb6d5b722734d126b843b1,Plaza de Vigo,2024-12-12T18:02:45.393916Z,8,9,13,1734026387,19,8,0
e97735d79704dc080f7ee1a2af1e402f,Obelisco,2024-12-12T18:02:45.393817Z,5,16,7,1734026379,23,5,1
f04ee4ffca2a6f3daacba88a9eee8487,Millenium,2024-12-12T18:02:45.394366Z,3,12,56,1734026525,15,2,1
f702a7b2b1631ace3781c405acb99b70,Praza de Ourense,2024-12-12T18:02:45.394214Z,3,11,41,1734026371,15,3,0
f86954a7b51703f735bce5b549cb4e16,Parque del Agra,2024-12-12T18:02:45.394259Z,0,15,45,1734026427,15,0,0
fb0d3f40ea7570546b171b43ccd57a2a,Rosales-Labañou,2024-12-12T18:02:45.394270Z,3,11,46,1734026525,15,2,1
fee1ae73b32ffb83e1bf3f6e83e616b7,Centro Cívico Monelos,2024-12-12T18:02:45.394009Z,8,7,21,1734026374,15,8,0
